cluster,age_years,height,weight,ap_hi,ap_lo,gender,cholesterol,gluc,smoke,alco,active,n_pacientes,percentual
0,54.980,164.830,81.810,142.620,89.600,1.390,1.636,1.346,0.101,0.067,0.804,23969,35.167
1,51.650,164.140,69.960,117.670,76.750,1.326,1.215,1.160,0.080,0.046,0.803,44188,64.833
